,CFB
0,0.48638720835926474
1,0.1837643138141348
2,0.2527384611057272
3,0.0998773521632311
4,0.046899920255183386
5,0.07178694843168534
6,0.0717869484316853
7,0.053561782210208714
8,0.10353592793411019
9,0.029126328568624016
10,0.04689992025518348
11,0.0
12,0.021792873013136562
13,0.09521613203920211
14,0.009878160254182547
15,0.009878160254182547
16,0.01574960127591711
17,0.020610952534966448
18,0.009878160254182547
19,0.06788125885531363
20,0.009878160254182547
21,0.02061095253496657
22,0.00987816025418254
23,0.0925487018340456
24,0.04177106876078287
25,0.046842843946891026
26,0.015894402718282047
27,0.08118574227825895
28,0.04750599513479629
29,0.058546256409499585
30,0.07559533700334575
31,0.1552170136594768
32,0.2476816190011746
33,0.3903685195589847
